"answeredQuestions","asin","attributes/0/key","attributes/0/value","attributes/1/key","attributes/1/value","attributes/2/key","attributes/2/value","attributes/3/key","attributes/3/value","attributes/4/key","attributes/4/value","attributes/5/key","attributes/5/value","attributes/6/key","attributes/6/value","attributes/7/key","attributes/7/value","attributes/8/key","attributes/8/value","attributes/9/key","attributes/9/value","attributes/10/key","attributes/10/value","attributes/11/key","attributes/11/value","attributes/12/key","attributes/12/value","attributes/13/key","attributes/13/value","attributes/14/key","attributes/14/value","attributes/15/key","attributes/15/value","attributes/16/key","attributes/16/value","bestsellerRanks","bestsellerRanks/0/category","bestsellerRanks/0/rank","bestsellerRanks/0/url","bestsellerRanks/1/category","bestsellerRanks/1/rank","bestsellerRanks/1/url","bestsellerRanks/2/category","bestsellerRanks/2/rank","bestsellerRanks/2/url","bestsellerRanks/3/category","bestsellerRanks/3/rank","bestsellerRanks/3/url","brand","breadCrumbs","delivery","description","fastestDelivery","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","inStock","inStockText","listPrice","listPrice/currency","listPrice/value","locationText","manufacturerAttributes/0/key","manufacturerAttributes/0/value","manufacturerAttributes/1/key","manufacturerAttributes/1/value","manufacturerAttributes/2/key","manufacturerAttributes/2/value","manufacturerAttributes/3/key","manufacturerAttributes/3/value","manufacturerAttributes/4/key","manufacturerAttributes/4/value","manufacturerAttributes/5/key","manufacturerAttributes/5/value","manufacturerAttributes/6/key","manufacturerAttributes/6/value","manufacturerAttributes/7/key","manufacturerAttributes/7/value","manufacturerAttributes/8/key","manufacturerAttributes/8/value","price/currency","price/value","priceVariants","returnPolicy","reviewsCount","reviewsLink","seller","seller/averageRating","seller/id","seller/name","seller/reviewsCount","seller/url","shippingPrice","stars","starsBreakdown/1star","starsBreakdown/2star","starsBreakdown/3star","starsBreakdown/4star","starsBreakdown/5star","support","thumbnailImage","title","url","variantAsins/0","variantAsins/1","variantAsins/2","variantAsins/3","variantAsins/4","variantAsins/5","variantAsins/6","variantAsins/7","variantAsins/8","variantAsins/9","variantAsins/10","variantAsins/11","variantAsins/12","variantAsins/13","variantAsins/14","variantAsins/15","variantAsins/16","variantAsins/17","variantAsins/18","variantAsins/19","variantAsins/20","variantAsins/21","variantAsins/22","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value"
"63","B07S75WTFD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","2195","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Sandals","11","https://www.amazon.com/gp/bestsellers/fashion/679320011/ref=pd_zg_hrsr_fashion","Women's Fashion","1226","https://www.amazon.com/gp/bestsellers/fashion/7147440011/ref=pd_zg_hrsr_fashion",,,,"","Clothing, Shoes & Jewelry › Men › Shoes › Sandals",,"It’s the iconic clog that started a comfort revolution around the world. The irreverent go-to comfort shoe that you're sure to fall deeper in love with day after day.",,,,,,,,,,,,,,,,,"true","",,"$","24.99","Select your address","","","","","","","","",,,,,,,,,,,"$","24.03",,,"20359","/Crocs-Unisex-Adult-Classic-Slide-Seasonal-Graphics/product-reviews/B0BFZSS8HX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.03","0.02","0.05","0.1","0.8",,"https://m.media-amazon.com/images/I/717SDqduxWL.__AC_SX395_SY395_QL70_FMwebp_.jpg","Crocs Unisex-Adult Classic Ll Slide-Seasonal Graphics","https://www.amazon.com/dp/B07S75WTFD",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53","B079QL15G3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nike","Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Running › Road Running",,,,,,,,,,,,,,,,,,,"true","",,"$","429","Select your address",,,,,,,,,,,,,,,,,,,"$","114.34",,,"3446","/Nike-Womens-Running-Trainers-Sneakers/product-reviews/B07KS4K9GN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.05","0.02","0.04","0.09","0.8",,"https://m.media-amazon.com/images/I/81BrJhy2oTL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Nike Women's Air Max 270 Running","https://www.amazon.com/dp/B079QL15G3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29","B098NHFV9Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","3199","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Women's Fashion Sneakers","41","https://www.amazon.com/gp/bestsellers/fashion/679394011/ref=pd_zg_hrsr_fashion",,,,,,,"ON","Clothing, Shoes & Jewelry › Women › Shoes › Fashion Sneakers",,"Take your workout to the next level with these lightweight and supremely comfortable On sneakers, which feature the label's typical commitment to top-quality design and engineering.",,"Mesh","Imported","Rubber sole","Fabric: Performance mesh","Rubber sole","Reflective accents, Lightweight design, Cushioned collar and perforated tongue, Removable insole, Patented CloudTec sole","Signature speed-lacing system",,,,,,,,,"true","",,"$","363.05","Select your address",,,,,,,,,,,,,,,,,,,"$","129.99",,,"834","/ON-Womens-Cloud-5-Sneakers/product-reviews/B0BLZ8FSP4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.07","0.02","0.05","0.06","0.81",,"https://m.media-amazon.com/images/I/31Ek7qPu-BL._AC_.jpg","ON Women's Cloud 5 Sneakers","https://www.amazon.com/dp/B098NHFV9Q",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"B082JHC29L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","48650","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Athletic & Outdoor Sandals & Slides","70","https://www.amazon.com/gp/bestsellers/fashion/679291011/ref=pd_zg_hrsr_fashion",,,,,,,"Under Armour","Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Sport Sandals & Slides","Saturday, January 21","Every athlete needs some slides for the locker room—so we made the best. Comfortable and long-lasting.. Fixed strap with added foam underneath for an extra comfortable fit. Drop-in EVA footbed provides underfoot cushioning. EVA outsole delivers great durability & traction.","Wednesday, January 18",,,,,,,,,,,,,,,,"true","In Stock.",,"$","25","Select your address",,,,,,,,,,,,,,,,,,,"$","21.71",,"Eligible for Return, Refund or Replacement within 30 days of receipt","666","/Under-Armour-Mens-Ansa-Black/product-reviews/B082JHC29L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.03","0.03","0.07","0.13","0.75",,"https://m.media-amazon.com/images/I/31v0QbIlUkL._AC_.jpg","Under Armour Men's Ansa Fixed Strap Slide Sandal, Black (003)/Black, 10","https://www.amazon.com/dp/B082JHC29L",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46","B07MC191K5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","3081","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Slippers","27","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion",,,,,,,"Dockers","Clothing, Shoes & Jewelry › Men › Shoes › Slippers",,"The dockers douglas ultra-light moccasin slipper comes in a classic, casual moccasin plain front style. these are part of the dockers premium line and utilize a shock-absorbing, ultra lightweight construction that is great for all-day wear. so comfortable, you'll want to sleep standing up... the super-cushion indoor/outdoor bottom has the durability to be worn outside. this classic casual-style slipper from dockers offers a soft footbed with memory foam cushioning -- comfortable all-day, every-day -- as well as a new, odor control technology that keeps your slippers stink free.",,,,,,,,,,,,,,,,,"true","",,"$","31.49","Select your address",,,,,,,,,,,,,,,,,,,"$","23.98",,,"6425","/Dockers-Douglas-Ultra-Light-Moccasin-Slippers/product-reviews/B071FBCHMY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.3","0.06","0.05","0.09","0.18","0.63",,"https://m.media-amazon.com/images/I/31oe18slxGL._AC_.jpg","Dockers Men's Douglas Ultra-Light Moccasin Premium Slippers","https://www.amazon.com/dp/B07MC191K5","B071Z9J18H","B07MQ2BTDL","B071HX3PLM",,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black"
"235","B01DJ3S8F8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","8738","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Women's Rain Footwear","22","https://www.amazon.com/gp/bestsellers/fashion/3412250011/ref=pd_zg_hrsr_fashion","Women's Boots","142","https://www.amazon.com/gp/bestsellers/fashion/679380011/ref=pd_zg_hrsr_fashion",,,,"HUNTER","Clothing, Shoes & Jewelry › Women › Shoes › Outdoor › Rain Footwear",,"First introduced in 1956, the Original Tall boot is handcrafted from 28 parts and built on the original last for exceptional fit and comfort. This iconic style lies at the heart of the Hunter Original British brand. Fully waterproof and functionally led, Hunter also provide an aesthetic, for which the rainboot has developed a global fashion following.",,"Rubber","Made in the USA or Imported","Rubber sole","Shaft measures approximately 16"" from arch",,,,,,,,,,,,"true","",,"$","149.99","United Kingdom",,,,,,,,,,,,,,,,,,,"$","91.95",,,"5071","/Hunter-WFT1000RMA-DOV-Womens-Original-Tall/product-reviews/B07HHM76SZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.06","0.03","0.05","0.1","0.77",,"https://m.media-amazon.com/images/I/51zVQAPW8ML.__AC_SX395_SY395_QL70_FMwebp_.jpg","HUNTER Women's Original Tall Snow Boot","https://www.amazon.com/dp/B01DJ3S8F8","B096FHHVDN","B00K1XBKU0","B09QCV546N","B00IHW7XBW","B00K1XAWXQ","B0B1YCZSTC","B08KJJK3ML","B00K1XBF6Y","B08HXR7SDV","B07JYNXF39","B07956T14L",,,,,,,,,,,,,"Size","","Color","Black"
"24","B08HFMQS27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","10372","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Women's Basketball Shoes","2","https://www.amazon.com/gp/bestsellers/fashion/679341011/ref=pd_zg_hrsr_fashion",,,,,,,"Nike","Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Team Sports › Basketball",,"VINTAGE STYLE. The Nike Blazer Mid 77 Vintage combines old-school basketball style with the vintage midsole finish. while innovative details update the look. Reinforced construction that fuses the midsole to the sole for an essential look. Foam on the tongue for a vintage style.",,"Rubber sole",,,,,,,,,,,,,,,"true","",,"$","250","Select your address",,,,,,,,,,,,,,,,,,,"$","74.97",,,"1381","/Nike-CZ1055-100-Womens-Basketball-Shoe/product-reviews/B08R4WRFM7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.06","0.02","0.03","0.09","0.8",,"https://m.media-amazon.com/images/I/31Ww-DoQRpL._AC_.jpg","Nike Women's Basketball Shoe","https://www.amazon.com/dp/B08HFMQS27",,,,,,,,,,,,,,,,,,,,,,,,,,,
"55","B085RW2CV6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Clothing, Shoes & Jewelry › Men › Shoes › Mules & Clogs",,,,,,,,,,,,,,,,,,,"true","",,"$","34.99","Select your address",,,,,,,,,,,,,,,,,,,"$","17.91",,,"14359","/Crocs-Unisex-Womens-Graphic-Resistant/product-reviews/B0BN2CF9LV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.03","0.02","0.04","0.11","0.8",,"https://m.media-amazon.com/images/I/41Mm21DWogL._AC_.jpg","Crocs Unisex Adult Men's and Women's Bistro Graphic Clog | Slip Resistant Work Shoes","https://www.amazon.com/dp/B085RW2CV6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"279","B07D9ZYHQS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","2771","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Women's Athletic & Outdoor Sandals & Slides","3","https://www.amazon.com/gp/bestsellers/fashion/679365011/ref=pd_zg_hrsr_fashion","Men's Athletic & Outdoor Sandals & Slides","4","https://www.amazon.com/gp/bestsellers/fashion/679291011/ref=pd_zg_hrsr_fashion",,,,"adidas","Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Sport Sandals & Slides",,"Your feet work hard — whether on the soccer field, running laps, or in overtime on the basketball court. After your workout, give your feet some love and attention. Adissage Unisex massage slide sandals treat tired feet right with hundreds of synthetic nubs that provide quick recovery.adidas is a name that stands for excellence in all sectors of sport around the globe. The vision of company founder Adolf Dassler has become a reality, and his corporate philosophy has been the guiding principle for successor generations. The idea was as simple as it was brilliant: to provide every athlete with the best possible equipment. It all began in 1920, when Adi Dassler made his first shoes using the few materials available after the First World War. Today, the adidas product range extends from shoes, apparel, and accessories for basketball, soccer, fitness and training to adventure, trail and golf.",,"100% Synthetic","Imported","Synthetic sole","Shaft measures approximately 6-12 inches from arch","Platform measures approximately 0-3 inches","Boot opening measures approximately 0-3 inches around","Regular fit; Slip-on construction","Adjustable-bandage synthetic upper for durability","EVA massage nubs on footbed","Cloudfoam midsole and memory foam sockliner for step-in comfort and superior cushioning",,,,,,"true","",,"$","42.01","Select your address",,,,,,,,,,,,,,,,,,,"$","20.8",,,"46988","/adidas-Womens-Adissage-Slides-Sandal/product-reviews/B01N2W7EIZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.4","0.06","0.03","0.06","0.12","0.73",,"https://m.media-amazon.com/images/I/31E6WmVFYoL._AC_.jpg","adidas Women's Adissage Slides Sandal","https://www.amazon.com/dp/B07D9ZYHQS","B07L2JL2ZG","B07L2KQWJC","B09Y2LR11N","B09MZNQC8Q","B0813VNFB1","B07SCW63WX","B000R4ESAM","B07D9CXN7M","B0728B7FX3","B077X5KRDS","B0813WJXHB",,,,,,,,,,,,,"Size","","Color","Black/White/Black"
"44","B07WLGBDDR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","2520","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Mules & Clogs","14","https://www.amazon.com/gp/bestsellers/fashion/3420996011/ref=pd_zg_hrsr_fashion","Men's Slippers","22","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion",,,,"","Clothing, Shoes & Jewelry › Men › Shoes › Slippers",,"Classic comfort gets a modern update. Crafted with breathable microsuede and temperature-regulating definition adapt technology, these clogs are the perfect pick for relaxing around the house or on the go. Durable indoor/outdoor outsoles add an extra touch of versatility.클래식한 편안함은 현대적인 업데이트를 제공합니다. 통기성이 좋은 마이크로스웨이드와 온도 조절 정의 적응 기술로 제작된 이 클로그는 집에서나 이동 중에도 휴식을 취할 수 있는 완벽한 제품입니다. 내구성이 뛰어난 실내/실외 밑창은 다용도로 사용할 수 있습니다.",,,,,,,,,,,,,,,,,"true","",,"$","29.95","United Kingdom","Unbeatable Comfort","Dearfoams is known for soft, warm fabrics and memory foam cushioning. A wide range of Styles and sizes means you can find a shoe specifically crafted for you needs!","Timeless Style","A mix of timeless looks and fresh, fashion-forward designs means there’s a slipper to fit every style. Perfect for wearing indoors at home or outdoors in the yard!","Dependable Quality","Superior materials and innovative technologies ensure a level of fit and durability that only Dearfoams can deliver.","Indoor/Outdoor Outsole","Our outsoles are designed for both indoor and outdoor wear. Whether you’re lounging at home or out on the go, Dearfoam will keep your feet cozy!.","Memory Foam Cushioning","Our insoles are cushioned with a multi-density layer of gel-infused memory foam, letting you relax into every step.","No Sweat Comfort","Our slippers are designed to be breathable and durable, so your feet can stay dry and cozy on the hottest days or the coldest nights!","Machine Washable","These cozy slippers are easy to clean so you can always have a fresh, clean pair. Gentle machine wash cold and air dry flat.",,,,,"$","22.6",,,"6470","/Dearfoams-Microfiber-Suede-Whipstitch-Slipper/product-reviews/B08NXFDF1D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.03","0.02","0.06","0.15","0.74",,"https://m.media-amazon.com/images/I/81g9jyhcRoL.__AC_SX395_SY395_QL70_ML2_.jpg","Dearfoams Men's Microfiber Suede Clog with Whipstitch Slipper","https://www.amazon.com/dp/B07WLGBDDR","B07W7N9245","B07W6JXV5S","B07W7NBZJY","B09Q5Q536P","B09Q579XNT","B09Q5DV59B",,,,,,,,,,,,,,,,,,"Size","","Color","Pavement"
"17","B09D7XNNP3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","6392","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Fashion Sneakers","29","https://www.amazon.com/gp/bestsellers/fashion/679312011/ref=pd_zg_hrsr_fashion",,,,,,,"FRACORA","Clothing, Shoes & Jewelry › Men › Shoes › Fashion Sneakers",,,,,,,,,,,,,,,,,,,"true","",,"$","24.99","Select your address","White canvas shoes for men","","White tennis shoes for men","","White mens casual shoes","","Black canvas shoes for men","","black mens casual shoes","","Mens retro sneakers","",,,,,,,"$","17.49",,,"1404","/FRACORA-Canvas-Shoes-Sneakers-Casual/product-reviews/B09NBF3SBB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.2","0.07","0.04","0.09","0.2","0.61",,"https://m.media-amazon.com/images/I/711wUm1wyES.__AC_SX395_SY395_QL70_FMwebp_.jpg","FRACORA Mens Canvas Shoes White Black Sneakers Low Top Lace Up Casual Shoes","https://www.amazon.com/dp/B09D7XNNP3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"28","B07C4VNQWL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","2482","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Dance Shoes","1","https://www.amazon.com/gp/bestsellers/fashion/679273011/ref=pd_zg_hrsr_fashion","Women's Ballet & Dance Shoes","2","https://www.amazon.com/gp/bestsellers/fashion/679339011/ref=pd_zg_hrsr_fashion",,,,"Dynadans","Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Ballet & Dance",,,,,,,,,,,,,,,,,,,"true","",,"$","30.79","Select your address","","The shoe upper is made of genuine leather that is soft and durable, which makes it more comfortable for dancers.","","Split sole design not only makes Dynadans jazz shoes lightweight, but also offers flexibility when dancing.","","Neoprene stretch arch insert is a considerate design for both better fitting and more support for arch.","","The fabric lining makes Dynadans shoes more comfortable and smooth to wear.",,,,,,,,,,,"$","13.59",,,"4967","/Dynadans-Womens-Leather-Upper-Slip/product-reviews/B07C4JWV7Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.03","0.03","0.06","0.16","0.71",,"https://m.media-amazon.com/images/I/71cCGvmWfxL.__AC_SX395_SY395_QL70_FMwebp_.jpg","Dynadans Women's Leather Upper Slip-on Jazz Shoe","https://www.amazon.com/dp/B07C4VNQWL","B07C4KTBZJ","B07CFX3T12",,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black"
"28","B08CVTW352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","9828","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Slippers","74","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion","Women's Slippers","125","https://www.amazon.com/gp/bestsellers/fashion/679433011/ref=pd_zg_hrsr_fashion",,,,"","Clothing, Shoes & Jewelry › Women › Shoes › Slippers",,,,,,,,,,,,,,,,,,,"true","",,"$","23.98","Select your address",,,,,,,,,,,,,,,,,,,"$","19.98",,,"6223","/UBFEN-Womens-Slippers-Comfort-Outdoor/product-reviews/B081TGF88M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.02","0.02","0.05","0.14","0.77",,"https://m.media-amazon.com/images/I/41ZDlPjPcIL._AC_.jpg","UBFEN Womens Mens Slippers Memory Foam Comfort Fuzzy Plush Lining Slip On House Shoes Indoor Outdoor","https://www.amazon.com/dp/B08CVTW352","B07WSKRLMM","B08CVBYQSB","B08CVRLVS4","B08CVRNZYQ","B08CVR5GYT",,,,,,,,,,,,,,,,,,,"Size","","Color","Grey"
"35","B09BDK91QQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","2652","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Women's Road Running Shoes","17","https://www.amazon.com/gp/bestsellers/fashion/14210388011/ref=pd_zg_hrsr_fashion",,,,,,,"HOKA ONE ONE","Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Running",,"HOKA ONE ONE Clifton 8 Womens Shoes",,,,,,,,,,,,,,,,,"true","",,"$","409.23","Egypt",,,,,,,,,,,,,,,,,,,"$","152",,,"697","/HOKA-ONE-Clifton-Womens-Shoes/product-reviews/B09TNTYYH7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.06","0.03","0.05","0.07","0.79",,"https://m.media-amazon.com/images/I/41UwrJo4JcL._AC_.jpg","HOKA ONE ONE Clifton 8 Womens Shoes","https://www.amazon.com/dp/B09BDK91QQ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","B07D6VHW43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","6272","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Sandals","24","https://www.amazon.com/gp/bestsellers/fashion/679320011/ref=pd_zg_hrsr_fashion",,,,,,,"Shower Shoez","Clothing, Shoes & Jewelry › Men › Shoes › Sandals",,,,"Manmade","Imported","manmade sole","Unique drain holes and guards your feet from dirty floors","Slip resistant soles so no slipping and sliding on wet surfaces at gyms dorms pools anywhere your feet might take you","Quick drying so you can toss them in gym bags, lockers or suitcases when you travel","Comfortable, lightweight and stylish and textured surface so feet don't slip around","Please check the size chart to ensure a proper fit",,,,,,,,"true","",,,,"United Kingdom",,,,,,,,,,,,,,,,,,,"$","14.99",,,"1666","/Shower-Shoez-Non-Slip-Water-Sandals/product-reviews/B0BS1WCBHY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.5","0.03","0.02","0.07","0.18","0.7",,"https://m.media-amazon.com/images/I/31YliQVo+bL._AC_.jpg","Shower Shoez Men's Non-Slip Gym Pool Dorm Water Sandals Flip Flops","https://www.amazon.com/dp/B07D6VHW43","B07TDRZB5S","B08HJKJ6YP","B09QLH4R85",,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black"
"278","B002JCSSYW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Clothing, Shoes & Jewelry › Men › Shoes › Mules & Clogs",,,,,,,,,,,,,,,,,,,"true","",,"$","35.72","Select your address","Our signature Croslite foam was designed to keep your feet happy from day to night.","","Next-generation LiteRide material offers comfort and support.","","When the sun comes out so do our soft and comfy sandals.","","Pivoting heel straps for a more secure fit.","",,,,,,,,,,,"$","20",,,"102769","/Crocs-Unisex-Adult-Crocband-Clog/product-reviews/B0962PT7TF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.04","0.02","0.05","0.1","0.79",,"https://m.media-amazon.com/images/I/81MROkpW7IL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Crocs Men's and Women's Crocband Clog","https://www.amazon.com/dp/B002JCSSYW",,,,,,,,,,,,,,,,,,,,,,,,,,,
"60","B07WJDZXTW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","10585","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Slippers","79","https://www.amazon.com/gp/bestsellers/fashion/679324011/ref=pd_zg_hrsr_fashion",,,,,,,"RockDove","Clothing, Shoes & Jewelry › Men › Shoes › Slippers",,,,"Sherpa Fleece","Rubber sole","CLOSED HEEL - These slippers hug your feet entirely so they won't fly off when walking, especially on stairs. Made of soft uppers, you can also step over the back and wear them as slip-ons, for times when you need to quickly slip them on and go.","DURABLE - Sole is joined to the upper via sewn side seams (not glued on), greatly improving the durability of the slipper; they're also machine washable so simply throw them in the wash and they'll come out as good as new.","CLOUDLIKE - Midsole padded with high-density memory foam and two support foams for extra cushioning; conforms to the curves of your underfoot to evenly distribute stress. Once worn you'll never want to take them off - they're that comfortable.","VERSATILE - Rubber outsole lets you step anywhere from bedroom to outdoors without switching shoes, useful for times when you need to step out for quick errands; also makes a great camp or dorm slipper that's easy to pack up (no need to ever worry about damaging or creasing the material).","TOASTY WARM - Covered in plush sherpa fleece from inside to outside, this slipper will wrap your feet in a cocoon of warmth so they'll never feel cold. No animal parts are used in making this product.",,,,,,,,,"true","",,,,"Select your address",,,,,,,,,,,,,,,,,,,"$","24.99",,,"13252","/RockDove-Mens-Nomad-Slipper-Memory/product-reviews/B07WKJQTJT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.6","0.03","0.02","0.06","0.14","0.75",,"https://m.media-amazon.com/images/I/81k8XI5H6TL.__AC_SX395_SY395_QL70_FMwebp_.jpg","RockDove Men's Nomad Slipper","https://www.amazon.com/dp/B07WJDZXTW","B07WQPTNL6","B07WKJQGY1","B07WH9Y5LQ","B07WNDH9YW",,,,,,,,,,,,,,,,,,,,"Size","","Color","Black"
"14","B091ZF99DJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing, Shoes & Jewelry","4210","https://www.amazon.com/gp/bestsellers/fashion/ref=pd_zg_ts_fashion","Men's Athletic & Outdoor Sandals & Slides","10","https://www.amazon.com/gp/bestsellers/fashion/679291011/ref=pd_zg_hrsr_fashion",,,,,,,"adidas","Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Sport Sandals & Slides",,"Your feet deserve a break, so give it to them in style with these adidas Adilette slides. The contoured footbed features Cloudfoam cushioning to provide elevated comfort on every step. Classic-look 3-Stripes provide a signature finish on the single bandage strap.",,,,,,,,,,,,,,,,,"true","",,"$","39.99","Select your address",,,,,,,,,,,,,,,,,,,"$","18.75",,,"2704","/adidas-Unisex-Adult-Shower-Slide-Sandal/product-reviews/B0B8DKHMBK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,,,,,,"4.4","0.06","0.03","0.07","0.12","0.72",,"https://m.media-amazon.com/images/I/21FTZ9OV9FL._AC_.jpg","adidas Unisex-Adult Shower Slide Sandal","https://www.amazon.com/dp/B091ZF99DJ",,,,,,,,,,,,,,,,,,,,,,,,,,,
